subject;age;language;seks;solution_type;CRAT1;ACC_CRAT;CRAT_correct;subject_answer_CRAT;ACC_memory;memory_correct;subject_answer_memory;location;RT;confidence;load_condition;ACC_memory_all_correct
32905000;19;Nederlands;female;2;bier;0;tafel;kaart;1;7824;2789;v;15227;11;2;0
32905000;19;Nederlands;female;2;worm;0;lint;land;0;5816;1736;v;14194;35;2;0
32905000;19;Nederlands;female;1;spook;1;schip;boot;1;4253;3456;a;5493;73;2;0
32905000;19;Nederlands;female;1;kruis;1;boog;boog;1;3295;935;a;2617;70;2;0
32905000;19;Nederlands;female;1;dating;1;site;site;1;3576;5673;a;3037;100;2;1
32905000;19;Nederlands;female;1;palm;1;boom;boom;0;4173;5469;a;8733;100;2;0
32905000;19;Nederlands;female;1;schommel;1;stoel;stoel;1;2968;986;a;5983;68;2;0
32905000;19;Nederlands;female;2;bureau;0;job;stoel;0;1628;;a;10505;33;2;0
32905000;19;Nederlands;female;1;baan;1;loop;loop;1;9327;3978;v;20276;78;2;0
32905000;19;Nederlands;female;1;ontsteking;0;oor;zee;1;9385;8395;v;14281;51;2;1
32905000;19;Nederlands;female;2;bord;0;ganzen;deken;1;6298;8962;v;11463;37;2;1
32905000;19;Nederlands;female;1;rust;1;pauze;pauze;1;2874;2467;a;10148;100;2;0
32905000;19;Nederlands;female;1;politie;0;auto;pistool;0;1452;8945;a;17171;38;2;0
32905000;19;Nederlands;female;1;hand;1;tas;tas;1;1423;1234;a;2299;36;2;1
32905000;19;Nederlands;female;2;kerst;0;kind;kaart;0;4756;2345;a;12376;20;2;0
32905000;19;Nederlands;female;1;vlok;1;sneeuw;sneeuw;1;9786;6789;v;3499;93;2;1
32905000;19;Nederlands;female;1;windmolen;1;park;park;1;1935;1975;a;7798;100;2;0
32905000;19;Nederlands;female;1;slaap;1;kamer;kamer;1;1297;1987;a;15704;88;2;0
32905000;19;Nederlands;female;1;circus;0;tent;weide;1;1863;6891;a;9899;55;2;0
32905000;19;Nederlands;female;1;pauze;1;koffie;koffie;1;9156;9651;v;3114;100;2;1
32905000;19;Nederlands;female;1;wandeling;0;bos;brand;1;9245;5493;v;1538;74;2;0
32905000;19;Nederlands;female;1;stuk;0;theater;spel;1;5237;5932;v;5724;87;2;0
32905000;19;Nederlands;female;1;neus;1;gat;gat;1;3672;3267;a;1587;94;2;1
32905000;19;Nederlands;female;1;vogel;1;nest;nest;1;3725;5392;a;3994;73;2;0
32905000;19;Nederlands;female;2;tennis;0;bal;beer;0;4139;4692;a;9657;37;2;0
32905000;19;Nederlands;female;1;jacht;0;geweer;boot;1;4918;8941;a;9500;69;2;1
32905000;19;Nederlands;female;2;knie;0;holte;lap;0;2194;4513;a;15048;28;2;0
32905000;19;Nederlands;female;1;hok;1;honden;honden;1;9864;1489;v;3411;91;2;0
32917;18;Nederlands;male;1;worm;1;lint;lint;1;5816;5864;v;2580;66;2;0
32917;18;Nederlands;male;1;hoed;1;vinger;vinger;1;7984;7984;v;3564;71;2;1
32917;18;Nederlands;male;1;hand;1;tas;tas;1;1423;1423;a;3691;76;2;1
32917;18;Nederlands;male;1;worm;1;regen;regen;0;9835;9824;v;2947;71;2;0
32917;18;Nederlands;male;1;windmolen;1;park;park;1;1935;1935;a;5070;87;2;1
32917;18;Nederlands;male;1;schutter;1;boog;boog;1;7485;7485;v;8291;36;2;1
32917;18;Nederlands;male;1;heer;1;land;land;1;8496;9684;v;8268;53;2;1
32917;18;Nederlands;male;1;bus;1;reis;reis;1;7568;7689;v;4520;43;2;0
32917;18;Nederlands;male;2;baan;0;loop;tennis;1;9327;3249;v;12357;31;2;0
32917;18;Nederlands;male;1;pauze;1;koffie;koffie;1;9156;9571;v;2896;70;2;0
32917;18;Nederlands;male;1;hok;1;honden;honden;1;9864;9864;v;2738;57;2;1
32917;18;Nederlands;male;1;rust;0;huis;zwem;0;1296;1234;a;15705;2;2;0
32917;18;Nederlands;male;1;politie;1;auto;auto;1;1452;1452;a;2674;65;2;1
32917;18;Nederlands;male;1;créme;1;ijs;ijs;0;5649;4264;v;8147;38;2;0
32917;18;Nederlands;male;1;kamp;1;vuur;vuur;1;1834;1834;a;2096;69;2;1
32917;18;Nederlands;male;1;tennis;1;bal;bal;1;4139;4132;a;7518;65;2;0
32917;18;Nederlands;male;1;bureau;1;job;job;1;1628;1632;a;4792;51;2;0
32917;18;Nederlands;male;1;wax;1;Kaars;kaars;1;8975;8927;v;5414;62;2;0
32917;18;Nederlands;male;1;rust;1;pauze;pauze;1;2874;2874;a;2458;59;2;1
32917;18;Nederlands;male;1;vogel;1;nest;nest;1;3725;3725;a;3530;67;2;1
32917;18;Nederlands;male;1;galerij;1;kunst;kunst;0;5396;6874;v;7935;66;2;0
32917;18;Nederlands;male;1;rol;1;film;fim;0;5128;3728;v;2741;62;2;0
32917;18;Nederlands;male;1;jacht;1;geweer;geweer;1;4918;1846;a;5533;55;2;0
32917;18;Nederlands;male;1;meloen;1;honing;honing;1;6831;1368;v;19127;7;2;1
32917;18;Nederlands;male;1;olie;1;sla;sla;1;8659;8654;v;10177;68;2;0
32917;18;Nederlands;male;1;schommel;1;stoel;stoel;1;2968;2968;a;4262;54;2;1
32917;18;Nederlands;male;1;wandeling;1;bos;bos;1;9245;2945;v;12777;62;2;1
32917;18;Nederlands;male;1;sjeik;1;olie;olie;1;8534;8634;v;1776;75;2;0
32917;18;Nederlands;male;1;vlok;1;sneeuw;sneeuw;1;9786;9786;v;7811;60;2;1
32917;18;Nederlands;male;1;palm;0;boom;hand;1;4173;1973;a;21946;0;2;0
32917;18;Nederlands;male;1;wereld;1;oorlog;oorlog;1;3972;2973;a;2743;68;2;1
32917;18;Nederlands;male;1;rozen;1;tuin;tuin;1;3854;3854;a;3416;77;2;1
32917;18;Nederlands;male;1;hoef;1;ijzer;ijzer;1;4613;1346;a;2743;65;2;1
32917;18;Nederlands;male;1;knie;1;holte;holte;1;2194;1294;a;4733;55;2;1
32917;18;Nederlands;male;1;stuk;1;theater;toneel;1;5237;5237;v;3195;57;2;1
32917;18;Nederlands;male;1;tijd;1;steen;steen;1;5498;5984;v;15799;59;2;1
32917;18;Nederlands;male;1;wand;1;klok;klok;1;2961;1329;a;11640;0;2;0
32917;18;Nederlands;male;1;programma;1;computer;cmputer;1;9862;9862;v;1337;63;2;1
32917;18;Nederlands;male;1;haar;1;lak;lak;1;3172;1372;a;5416;59;2;1
32917;18;Nederlands;male;1;dating;1;site;site;0;3576;3862;a;11629;34;2;0
32917;18;Nederlands;male;1;kruis;1;boog;boog;1;3295;3295;a;4173;61;2;1
32917;18;Nederlands;male;1;paal;0;telefoon;baan;1;7418;1874;v;10389;0;2;1
32917;18;Nederlands;male;1;echt;1;scheiding;scheiding;1;2534;2539;a;4403;34;2;0
32917;18;Nederlands;male;1;zoeker;1;voet;voet;1;8715;1587;v;1441;65;2;1
32917;18;Nederlands;male;1;pijn;1;buik;buik;1;7936;7936;v;7516;66;2;1
32917;18;Nederlands;male;1;kerst;1;kind;kind;0;4756;4974;a;4441;56;2;0
32917;18;Nederlands;male;1;basket;1;bal;bal;1;4825;4826;a;2651;65;2;0
32917;18;Nederlands;male;1;spiegel;1;beeld;beeld;1;4657;4657;a;1547;60;2;1
32917;18;Nederlands;male;1;dorp;0;berg;boeren;0;5463;8474;v;15748;0;2;0
32917;18;Nederlands;male;1;sport;1;zak;zak;1;4293;4293;a;2104;40;2;1
32917;18;Nederlands;male;1;bord;1;ganzen;ganzen;1;6298;4268;v;16686;61;2;0
32935;18;Nederlands;female;1;vakantie;0;kamp;tijd;0;2549;1111;a;9419;53;2;0
32935;18;Nederlands;female;2;dorp;1;berg;berg;1;5463;5326;v;8014;50;2;0
32935;18;Nederlands;female;1;spook;1;schip;schip;1;4253;3235;a;11916;79;2;0
32935;18;Nederlands;female;1;zoeker;1;voet;voet;1;8715;8715;v;2890;71;2;1
32935;18;Nederlands;female;1;meloen;1;honing;honing;0;6831;9532;v;6202;78;2;0
32935;18;Nederlands;female;1;paal;1;telefoon;telefoon;1;7418;7418;v;2890;73;2;1
32935;18;Nederlands;female;2;motor;0;race;kap;1;1982;7182;a;7013;50;2;0
32935;18;Nederlands;female;2;ontsteking;1;oor;oor;0;9385;7125;v;8790;78;2;0
32935;18;Nederlands;female;2;vlok;0;sneeuw;sneeuz;1;9786;9786;v;2875;25;2;1
32935;18;Nederlands;female;1;pijn;1;buik;buik;1;7936;7936;v;9047;74;2;1
32935;18;Nederlands;female;2;wandeling;1;bos;bos;1;9245;9532;v;7872;50;2;0
32935;18;Nederlands;female;1;munt;0;peper;pepe;1;7689;7926;v;3308;50;2;0
32935;18;Nederlands;female;2;rol;0;film;hoofd;1;5128;5128;v;10949;50;2;1
32935;18;Nederlands;female;1;schommel;1;stoel;stoel;1;2968;7928;a;3389;68;2;0
32935;18;Nederlands;female;2;baan;1;loop;loop;1;9327;7329;v;4305;64;2;1
32935;18;Nederlands;female;2;weer;0;brand;toon;1;7918;7198;v;18407;50;2;1
32935;18;Nederlands;female;2;worm;0;lint;regen;0;5816;7126;v;16124;50;2;0
32935;18;Nederlands;female;2;bord;1;ganzen;ganzen;0;6298;7126;v;3263;54;2;0
32935;18;Nederlands;female;2;programma;0;computer;cmputer;1;9862;9862;v;1873;77;2;1
32935;18;Nederlands;female;2;palm;0;boom;hand;0;4173;7126;a;3462;25;2;0
32935;18;Nederlands;female;2;bus;0;reis;tour;0;7568;7126;v;7053;50;2;0
32935;18;Nederlands;female;1;jacht;1;geweer;geweer;0;4918;7126;a;8736;61;2;0
32935;18;Nederlands;female;2;hoed;1;vinger;vinger;1;7984;7984;v;2086;68;2;1
32935;18;Nederlands;female;2;basket;0;bal;schoen;1;4825;8265;a;20267;50;2;0
32935;18;Nederlands;female;2;hoef;1;ijzer;ijzer;0;4613;8297;a;4276;50;2;0
32935;18;Nederlands;female;2;brood;1;doos;doos;0;4896;8652;a;5401;65;2;0
32935;18;Nederlands;female;2;galerij;1;kunst;kunst;0;5396;8526;v;4392;61;2;0
32935;18;Nederlands;female;1;hok;1;honden;honden;1;9864;9864;v;1626;87;2;1
32935;18;Nederlands;female;1;hand;1;tas;tas;0;1423;7824;a;3089;62;2;0
32935;18;Nederlands;female;1;windmolen;1;park;park;1;1935;9235;a;2403;50;2;0
32935;18;Nederlands;female;1;kamp;1;vuur;vuur;1;1834;1834;a;2503;79;2;1
32935;18;Nederlands;female;1;wereld;1;oorlog;oorlog;1;3972;3972;a;2691;81;2;1
32935;18;Nederlands;female;1;politie;1;auto;auto;1;1452;7142;a;2573;77;2;0
32935;18;Nederlands;female;2;stuk;0;theater;toneel;1;5237;7135;v;8767;77;2;0
32935;18;Nederlands;female;2;regen;1;broek;broek;1;1756;1786;a;2767;86;2;0
32935;18;Nederlands;female;2;dating;1;site;site;0;3576;7126;a;13034;50;2;0
32935;18;Nederlands;female;1;haar;1;lak;lak;1;3172;7126;a;15701;80;2;0
32935;18;Nederlands;female;1;rozen;0;tuin;tuim;0;3854;3526;a;15575;51;2;0
32935;18;Nederlands;female;1;kruis;1;boog;boog;1;3295;3295;a;4374;78;2;1
32935;18;Nederlands;female;1;tijd;0;steen;steem;0;5498;3852;v;7671;51;2;0
32935;18;Nederlands;female;1;sjeik;1;olie;olie;1;8534;8534;v;2044;66;2;1
32935;18;Nederlands;female;2;rust;1;pauze;pauze;0;2874;5792;a;9965;42;2;0
32935;18;Nederlands;female;1;kaart;1;bank;bank;1;8354;7854;v;3672;89;2;0
32935;18;Nederlands;female;1;vogel;1;nest;nest;1;3725;3725;a;4582;81;2;1
32935;18;Nederlands;female;1;pauze;1;koffie;koffie;1;9156;1956;v;5605;77;2;1
32935;18;Nederlands;female;1;kerst;1;kind;kind;1;4756;4756;a;7047;78;2;1
32935;18;Nederlands;female;1;sport;1;zak;zak;1;4293;4293;a;2446;80;2;1
32935;18;Nederlands;female;1;neus;1;gat;gat;0;3672;9256;a;6978;81;2;0
32935;18;Nederlands;female;2;slaap;0;kamer;amer;0;1297;8659;a;3930;76;2;0
32935;18;Nederlands;female;1;spiegel;1;beeld;beeld;1;4657;4657;a;7494;80;2;1
32935;18;Nederlands;female;2;knie;1;holte;hoek;0;2194;1546;a;4126;51;2;0
32935;18;Nederlands;female;1;schutter;1;boog;boog;1;7485;7485;v;12377;68;2;1
32935;18;Nederlands;female;2;schaduw;1;oog;oog;0;7289;7485;v;7047;75;2;0
32935;18;Nederlands;female;2;worm;1;regen;regen;1;9835;835;v;4187;56;2;0
32935;18;Nederlands;female;2;circus;0;tent;act;0;1863;4862;a;10652;44;2;0
32935;18;Nederlands;female;2;bier;1;tafel;tafel;1;7824;7824;v;3973;84;2;1
32935;18;Nederlands;female;2;wax;1;Kaars;kaars;1;8975;7854;v;4403;65;2;0
32935;18;Nederlands;female;2;tennis;1;bal;bal;1;4139;4139;a;7851;56;2;1
32950;18;Nederlands;female;1;spiegel;1;beeld;beeld;1;4657;465;a;5896;53;2;0
32950;18;Nederlands;female;1;vakantie;1;kamp;kmp;1;2549;4652;a;14897;47;2;0
32950;18;Nederlands;female;1;regen;1;broek;broek;1;1756;9651;a;5629;56;2;0
32950;18;Nederlands;female;1;wereld;1;oorlog;oorlog;1;3972;3692;a;7637;57;2;0
32950;18;Nederlands;female;2;bus;0;reis;stem;0;7568;;v;21279;38;2;0
32950;18;Nederlands;female;1;kruis;1;boog;boog;1;3295;3295;a;5465;72;2;1
32950;18;Nederlands;female;1;ontsteking;1;oor;oor;1;9385;9385;v;9196;59;2;1
32950;18;Nederlands;female;1;kaart;1;bank;bank;1;8354;8354;v;14563;53;2;1
32950;18;Nederlands;female;1;tennis;1;bal;bal;1;4139;3149;a;11145;55;2;1
32950;18;Nederlands;female;2;rust;0;pauze;tijd;1;2874;2474;a;18042;28;2;0
32950;18;Nederlands;female;1;circus;1;tent;tent;0;1863;1892;a;4555;64;2;0
32950;18;Nederlands;female;1;rozen;1;tuin;tuin;0;3854;;a;6179;52;2;0
32950;18;Nederlands;female;1;hand;1;tas;tas;1;1423;1423;a;5305;56;2;1
32950;18;Nederlands;female;1;meloen;1;honing;honing;0;6831;7685;v;14644;26;2;0
32950;18;Nederlands;female;1;worm;1;lint;lint;0;5816;;v;10011;61;2;0
32950;18;Nederlands;female;2;palm;1;boom;boom;1;4173;4715;a;8019;59;2;0
32950;18;Nederlands;female;1;kerst;1;kind;kind;1;4756;475;a;4378;54;2;0
32950;18;Nederlands;female;1;kamp;1;vuur;vuur;1;1834;1834;a;5781;63;2;1
32950;18;Nederlands;female;1;windmolen;1;park;park;1;1935;1935;a;7944;41;2;1
32950;18;Nederlands;female;2;worm;1;regen;regen;0;9835;49;v;6728;55;2;0
32950;18;Nederlands;female;2;politie;1;auto;auto;1;1452;1425;a;5539;43;2;1
32950;18;Nederlands;female;1;weer;1;brand;brand;1;7918;7918;v;6559;84;2;1
32950;18;Nederlands;female;1;vlees;1;tand;tand;0;8352;56;v;6768;67;2;0
32950;18;Nederlands;female;2;basket;1;bal;bal;1;4825;4825;a;6586;61;2;1
32950;18;Nederlands;female;2;stuk;1;theater;toneel;0;5237;;v;7555;53;2;0
32950;18;Nederlands;female;2;vlok;1;sneeuw;sneeuw;0;9786;;v;7787;45;2;0
32950;18;Nederlands;female;2;wax;1;Kaars;kaars;0;8975;457;v;10138;34;2;0
32950;18;Nederlands;female;1;vogel;1;nest;nest;1;3725;3425;a;6642;61;2;0
32950;18;Nederlands;female;1;sport;1;zak;zak;0;4293;;a;5772;45;2;0
32950;18;Nederlands;female;1;schutter;1;boog;boog;1;7485;7485;v;6279;62;2;1
32950;18;Nederlands;female;1;bureau;1;job;werk;0;1628;;a;10579;53;2;0
32950;18;Nederlands;female;1;hoef;1;ijzer;ijzer;1;4613;4613;a;9631;45;2;1
32950;18;Nederlands;female;1;slaap;1;kamer;kamer;0;1297;12;a;4498;63;2;0
32950;18;Nederlands;female;1;pauze;1;koffie;koffie;0;9156;;v;24173;62;2;0
32950;18;Nederlands;female;1;hoed;1;vinger;vinger;0;7984;;v;7675;53;2;0
32950;18;Nederlands;female;1;galerij;1;kunst;kunst;0;5396;;v;4340;72;2;0
32968;18;Nederlands;female;1;circus;1;tent;tent;1;1863;8631;a;6682;85;2;1
32968;18;Nederlands;female;1;palm;1;boom;boom;0;4173;5938;a;5790;82;2;0
32968;18;Nederlands;female;1;spiegel;1;beeld;beeld;1;4657;4657;a;3462;77;2;1
32968;18;Nederlands;female;2;sjeik;1;olie;olie;1;8534;8536;v;13084;24;2;0
32968;18;Nederlands;female;1;hand;1;tas;tas;1;1423;1234;a;3125;82;2;1
32968;18;Nederlands;female;1;kamp;1;vuur;vuu;1;1834;1485;a;15158;82;2;0
32968;18;Nederlands;female;1;vlok;1;sneeuw;sneeuw;1;9786;7869;v;7240;82;2;1
32968;18;Nederlands;female;1;kruis;1;boog;boog;1;3295;3952;a;7362;78;2;1
32968;18;Nederlands;female;1;schommel;1;stoel;stoel;1;2968;9683;a;3439;42;2;0
32968;18;Nederlands;female;2;rol;1;film;fim;1;5128;1258;v;9411;79;2;1
32968;18;Nederlands;female;2;zoeker;1;voet;voet;1;8715;1587;v;16795;33;2;1
32968;18;Nederlands;female;2;hok;1;honden;honden;1;9864;9864;v;15495;35;2;1
32968;18;Nederlands;female;1;politie;1;auto;auto;1;1452;4512;a;9747;83;2;1
32968;18;Nederlands;female;2;hoef;1;ijzer;ijzer;1;4613;4163;a;16812;41;2;1
32968;18;Nederlands;female;2;programma;0;computer;boek;1;9862;9762;v;24550;5;2;0
32968;18;Nederlands;female;1;vogel;1;nest;nest;1;3725;3257;a;3711;68;2;1
32968;18;Nederlands;female;1;galerij;1;kunst;kunst;1;5396;3695;v;17670;79;2;1
32968;18;Nederlands;female;1;pijn;1;buik;buik;1;7936;7963;v;8152;68;2;1
32968;18;Nederlands;female;2;dating;1;site;site;1;3576;3651;a;18329;24;2;0
32968;18;Nederlands;female;1;haar;1;lak;lak;1;3172;3172;a;6568;72;2;1
32968;18;Nederlands;female;2;créme;1;ijs;ijs;0;5649;4913;v;18052;14;2;0
32968;18;Nederlands;female;2;tijd;1;steen;steen;1;5498;4589;v;19604;28;2;1
32968;18;Nederlands;female;1;kaart;1;bank;bank;1;8354;4583;v;5367;79;2;1
32968;18;Nederlands;female;2;knie;0;holte;pijn;0;2194;9453;a;24382;34;2;0
32968;18;Nederlands;female;1;wereld;1;oorlog;oorlog;0;3972;3981;a;5100;87;2;0
32968;18;Nederlands;female;2;brood;1;doos;doos;1;4896;9842;a;20528;22;2;0
32968;18;Nederlands;female;2;tennis;1;bal;bal;1;4139;1934;a;24558;21;2;1
32968;18;Nederlands;female;1;basket;1;bal;bal;1;4825;4825;a;2941;59;2;1
32968;18;Nederlands;female;2;spook;1;schip;boot;1;4253;4523;a;18540;3;2;1
32968;18;Nederlands;female;2;worm;0;lint;land;1;5816;5148;v;17411;16;2;0
32968;18;Nederlands;female;2;meloen;0;honing;stuk;1;6831;6813;v;24735;15;2;1
32968;18;Nederlands;female;2;schutter;1;boog;boog;1;7485;7845;v;6850;26;2;1
32968;18;Nederlands;female;2;regen;1;broek;broek;0;1756;8451;a;12901;7;2;0
32968;18;Nederlands;female;1;stuk;1;theater;tonel;0;5237;1269;v;3846;65;2;0
32968;18;Nederlands;female;2;worm;1;regen;regen;0;9835;9841;v;7236;82;2;0
32968;18;Nederlands;female;2;kerst;0;kind;papier;0;4756;4891;a;19018;21;2;0
32968;18;Nederlands;female;1;weer;1;brand;brand;1;7918;7129;v;8803;86;2;0
32968;18;Nederlands;female;1;bureau;1;job;werk;0;1628;7513;a;11189;86;2;0
32968;18;Nederlands;female;1;slaap;1;kamer;kmer;1;1297;1279;a;3189;86;2;1
32968;18;Nederlands;female;1;maat;1;beker;beker;1;2891;2891;a;3997;81;2;1
32968;18;Nederlands;female;1;bus;0;reis;tour;0;7568;2389;v;10397;9;2;0
32968;18;Nederlands;female;1;neus;1;gat;gat;0;3672;1475;a;5064;77;2;0
32968;18;Nederlands;female;1;wax;1;Kaars;kaars;1;8975;8958;v;5443;73;2;0
32968;18;Nederlands;female;1;sport;1;zak;zak;0;4293;3981;a;7671;82;2;0
32971;18;Nederlands;female;1;wandeling;1;bos;bos;1;9245;9245;v;4446;56;2;1
32971;18;Nederlands;female;2;slaap;1;kamer;amer;0;1297;1246;a;4443;70;2;0
32971;18;Nederlands;female;1;worm;1;lint;lint;0;5816;8246;v;18186;57;2;0
32971;18;Nederlands;female;2;schaduw;0;oog;bloed;1;7289;7289;v;20855;41;2;1
32971;18;Nederlands;female;2;jacht;0;geweer;terrein;1;4918;4197;a;21183;4;2;0
32971;18;Nederlands;female;2;muis;0;veld;onde;0;4931;1257;v;21852;23;2;0
32971;18;Nederlands;female;1;rust;1;pauze;huis;0;2874;8169;a;19622;68;2;0
32971;18;Nederlands;female;2;heer;0;land;spel;1;8496;8491;v;20085;41;2;0
32971;18;Nederlands;female;2;bus;0;reis;beurt;1;7568;5678;v;24971;28;2;1
32971;18;Nederlands;female;1;munt;1;peper;peper;1;7689;6789;v;10876;80;2;1
32971;18;Nederlands;female;1;knie;1;holte;holte;0;2194;5698;a;6282;73;2;0
32971;18;Nederlands;female;2;hoed;1;vinger;vinger;1;7984;7894;v;9046;80;2;1
32971;18;Nederlands;female;2;stuk;1;theater;theater;0;5237;8473;v;4228;53;2;0
32971;18;Nederlands;female;2;zoeker;0;voet;schoen;1;8715;7856;v;4857;55;2;0
32971;18;Nederlands;female;1;spook;1;schip;boot;0;4253;4865;a;7390;83;2;0
32971;18;Nederlands;female;1;schutter;1;boog;boog;1;7485;8567;v;4177;72;2;0
32971;18;Nederlands;female;2;sport;0;zak;bak;0;4293;4256;a;10310;33;2;0
32971;18;Nederlands;female;2;echt;0;scheiding;heid;1;2534;2345;a;20238;24;2;1
32971;18;Nederlands;female;1;dating;1;site;sie;1;3576;3578;a;3925;69;2;0
32971;18;Nederlands;female;2;politie;1;auto;auto;0;1452;4587;a;8167;45;2;0
32971;18;Nederlands;female;1;kamp;1;vuur;vuur;0;1834;6895;a;2600;65;2;0
